Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2022|BBCA|EQUITY|123275050000|9300|1778826895|50178460|335093250|820000|4136073373|1222511978|54184107|53470000|1133200|7632291263|700081696|2207003471|5903933752|3755645208|359136170|18879608514|1408507636|660256232|10947232178|44821404857
30-NOV-2022|BBHI|EQUITY|21730256442|2060|0|18641856903|0|0|458685132|2952068|12803915|0|146000|19116444018|0|2120022099|25600|15352389|245514222|2832800|1954216|0|10808533|2396509859
30-NOV-2022|BBKP|EQUITY|67887540178|129|4358399|2846725548|13517391|19662220|14412642974|5400066|228230898|1380800|870579167|18402497463|23327000|177660613|226133383|1251150351|71920895|471343176|552455538|0|1180968286|3954959242
30-NOV-2022|BBLD|EQUITY|1645796054|620|63269185|1190457865|0|1283|80560224|1125300|193853|0|0|1335607710|0|4996895|0|229664157|70666914|0|3744|0|3530300|308862010
30-NOV-2022|BBMD|EQUITY|4090090000|1970|0|100|0|63021200|192420600|0|0|0|0|255441900|0|0|0|100|174483400|0|74600|0|0|174558100
30-NOV-2022|BBNI|EQUITY|18648656458|9900|1213809307|45024025|127674942|3216700|718100573|561951392|6529065|34768065|819028|2711893097|138992863|174394333|813785615|463304384|53741746|1419493278|193028635|26351140|1460990921|4744082915
30-NOV-2022|BBRI|EQUITY|151559001604|4980|3954805113|148631277|621303648|483741852|3095809664|2501620536|45125701|315444983|5499736623|16666219397|1425301817|2652874110|6738803720|5618073224|38443424|21266115228|1804436646|226220721|14477250571|54247519461
30-NOV-2022|BBRM|EQUITY|8479490328|74|0|6654187384|0|0|328787032|0|263863|0|0|6983238279|0|1114168300|0|254015952|14050797|0|111082538|0|2933333|1496250920
30-NOV-2022|BBSI|EQUITY|3307250973|4500|0|2899509500|0|0|238696110|0|53|0|0|3138205663|0|0|0|212|11382986|0|135361018|0|0|146744216
30-NOV-2022|BBSS|EQUITY|4800016020|71|0|825660400|0|0|474272820|0|0|800|0|1299934020|0|0|0|0|77000|0|5000|0|0|82000
30-NOV-2022|BBTN|EQUITY|10590000000|1535|1223988540|59640817|100228131|11896300|1098167656|409381333|10920596|25028847|5231300|2944483520|6365350|99536528|164065831|52879388|3271840|382665794|100950550|66226000|415455699|1291416980
30-NOV-2022|BBYB|EQUITY|11688570135|735|150205037|4799096501|34713870|394000|2539083294|733532917|57969283|5686329|233596729|8554277960|5120600|1736268100|74425550|58704706|130319725|160375750|109201758|0|697629576|2972045765
30-NOV-2022|BCAP|EQUITY|42618850927|98|20852200|21967583220|2136800|0|4251221676|402422700|436253763|0|19607900|27100078259|17094900|6195899646|24825500|69699700|14573500|105024800|3128260363|0|5963394259|15518772668
30-NOV-2022|BCIC|EQUITY|18109922009|134|0|5093036|0|7192|276118770|205|2277626|0|611|283497440|0|3981865771|0|65321|622793|0|1044807|0|20830|3983619522
30-NOV-2022|BCIP|EQUITY|1429915525|71|18000000|653224624|44057000|0|604893391|80805410|200000|0|0|1401180425|0|7900000|0|264900|2570100|17500000|500100|0|0|28735100
30-NOV-2022|BDMN|EQUITY|9773552870|3020|15265341|167202112|13589110|12717|294531719|45935718|3038763|1391751|628400|541595631|1464461|4732243|16679688|9127715538|893166|36103193|24341047|510300|16071175|9228510811
30-NOV-2022|BEBS|EQUITY|9000000000|3780|0|3934113826|0|0|4419343874|140700|347|0|0|8353598747|4935800|211983000|13643900|155440425|40256700|73812798|113674700|0|32653930|646401253
30-NOV-2022|BEEF|EQUITY|1884312595|61|0|420738090|4500000|0|715643705|400000|0|100000|434700|1141816495|0|5000|0|42000|1491100|0|8521700|0|178711300|188771100
30-NOV-2022|BEKS|EQUITY|51870438266|50|1513980|34355611025|1439450|41600|14562851097|337222476|235182270|409940|929562961|50423834799|0|3847179|0|868749507|36297510|0|18949839|0|55049|927899084
30-NOV-2022|BELI|EQUITY|118474705740|484|6103500|14868649200|28481000|0|2821878900|810767600|23186000|3866700|3200400|18566133300|30063400|192518100|8816340|137707426|2140400|27168938|1452000|0|353405996|753272600
30-NOV-2022|BELL|EQUITY|7250000000|133|0|5796313900|0|0|258697900|801828900|378554000|99200|0|7235493900|0|0|0|7531200|979200|0|5995700|0|0|14506100
30-NOV-2022|BESS|EQUITY|3433036458|196|0|496460133|0|0|236565825|0|0|0|0|733025958|0|0|0|0|10500|0|0|0|0|10500
30-NOV-2022|BEST|EQUITY|9647311150|140|295299200|4821197500|10287100|0|2909266411|27364600|119571388|152000|0|8183138199|7240096|967645973|64679109|135799741|18792000|85507300|66232590|45205700|66070442|1457172951
30-NOV-2022|BFIN|EQUITY|15967115620|1140|498753700|1297618880|84794400|1136360|2577926328|413121647|3776670|12625700|129432180|5019185865|9094900|225594850|105819392|796636812|972760|1583331352|233402458|352700|7975658131|10930863355
30-NOV-2022|BGTG|EQUITY|16470997103|98|0|418320807|0|0|2526021623|0|650050|2174600|0|2947167080|0|2402279800|0|144061500|788523|17079700|1830631150|0|1249350|4396090023
30-NOV-2022|BHAT|EQUITY|5000000000|830|496116000|3505781800|0|0|65002400|334879800|136054000|2800000|0|4540634000|0|0|0|6176000|48300|3141100|600|0|0|9366000
30-NOV-2022|BHIT|EQUITY|86068156705|61|24252800|7386255053|120840800|1000|18268277804|198123160|2042849870|2000|3246800|28043849287|0|40216179044|18662700|2616258916|21987240|404770066|2106763963|143621620|12496053869|58024297418
30-NOV-2022|BIKA|EQUITY|592280000|111|0|0|0|0|592165700|0|0|0|0|592165700|0|700|0|0|13500|0|100|0|0|14300
30-NOV-2022|BIKE|EQUITY|1293345631|224|0|191895400|0|0|128886781|0|50|0|0|320782231|0|0|0|776900|686900|0|1099600|0|0|2563400
30-NOV-2022|BIMA|EQUITY|608175716|151|570000|14309500|0|0|51517280|0|19820200|0|0|86216980|0|0|0|31600|223500|0|0|0|0|255100
30-NOV-2022|BINA|EQUITY|5937093750|3990|1843102685|2177034246|42037000|0|78766928|75353800|10132512|0|7665600|4234092771|47800|6303500|139700|5004342|433600|594560950|1036777050|0|363100|1643630042
30-NOV-2022|BINO|EQUITY|2175012902|132|0|30582800|0|0|400550102|0|0|0|3017800|434150702|0|0|0|0|862200|0|0|0|0|862200
30-NOV-2022|BIPI|EQUITY|57918360917|186|2166491609|30711034153|1051000|305626000|14628472391|1628536900|1948830416|21274800|1000000|51412317269|0|1061046000|0|1775326766|98947900|45451600|140618775|0|3384652607|6506043648
30-NOV-2022|BIPP|EQUITY|5028669376|50|277775000|366940100|21000300|1604280|836201556|9410000|10583220|0|6703400|1530217856|0|3345072395|0|630300|129222400|0|526500|0|0|3475451595
30-NOV-2022|BIRD|EQUITY|2502100000|1580|61623200|448411995|16801400|0|775274482|35796500|870961|1686500|32000018|1372465056|16444600|58544969|4421900|19949750|7931400|12400800|7188546|468100|12264879|139614944
30-NOV-2022|BISI|EQUITY|3000000000|1615|5095900|49183400|1464500|0|107605738|33334800|661994|0|0|197346332|0|14111740|1204000|766405093|32265441|20752157|62065048|750797|280786892|1178341168
30-NOV-2022|BJBR|EQUITY|10521443686|1360|966058500|33983319|9999035|13154300|812033928|97157029|30956728|2205700|17349900|1982898439|7903703|35071567|93564281|40623715|208000|258888071|74170404|955750|78566425|589951916
30-NOV-2022|BJTM|EQUITY|15015498082|730|431849900|58612987|8358700|727500|1370245607|14538292|125746816|1257900|0|2011337702|8694000|16866574|130622108|47326376|1053600|556635994|40801004|33247731|234765011|1070012398
30-NOV-2022|BKDP|EQUITY|7513992252|81|0|2595176500|0|0|1627486585|47057750|90050|0|0|4269810885|0|0|0|0|44181267|0|100|0|0|44181367
